year,bond_type,sales
1935,A...D,2.04E+08
1936,A...D,3.70E+08
1937,A...D,4.70E+08
1938,A...D,5.41E+08
1939,A...D,8.62E+08
1940,A...D,1.04E+09
1941,A...D,4.58E+08
1941,E,1.15E+09
1942,E,5.99E+09
1943,E,1.03E+10
1944,E,1.24E+10
1945,E,9.82E+09
1946,E,4.47E+09
1947,E,4.09E+09
1948,E,4.22E+09
1949,E,4.21E+09
1950,E,3.67E+09
1951,E,3.19E+09
1952,E,3.39E+09
1953,E,3.91E+09
1954,E,4.02E+09
1955,E,4.19E+09
1956,E,4.14E+09
1957,E,3.88E+09
1958,E,3.80E+09
1959,E,3.60E+09
1960,E,3.63E+09
1961,E,3.71E+09
1962,E,3.62E+09
1963,E,4.19E+09
1964,E,4.13E+09
1965,E,4.09E+09
1966,E,4.45E+09
1967,E,4.57E+09
1968,E,4.45E+09
1969,E,4.22E+09
1970,E,4.50E+09
1971,E,5.22E+09
1972,E,5.92E+09
1973,E,5.99E+09
1974,E,6.52E+09
1975,E,6.73E+09
1976,E,7.25E+09
1977,E,7.64E+09
1978,E,7.72E+09
1979,E,6.78E+09
1980,E,9.99E+08
1980,EE,3.03E+09
1981,EE,3.26E+09
1982,EE,3.18E+09
1983,EE,3.93E+09
1984,EE,3.99E+09
1985,EE,5.44E+09
1986,EE,1.19E+10
1987,EE,7.02E+09
1988,EE,7.41E+09
1989,EE,7.64E+09
1990,EE,8.08E+09
1991,EE,9.51E+09
1992,EE,1.77E+10
1993,EE,1.34E+10
1994,EE,9.00E+09
1995,EE,1.10E+10
1996,EE,5.82E+09
1997,EE,9.32E+09
1998,EE,4.87E+09
1999,EE,5.46E+09
2000,EE,4.40E+09
2001,EE,4.59E+09
1967,SN,1.11E+08
1968,SN,2.83E+08
1969,SN,3.61E+08
1970,SN,1.07E+08
1998,I,1.17E+08
1999,I,3.63E+08
2000,I,1.53E+09
2001,I,6.94E+09
1941,F,2.08E+08
1942,F,6.52E+08
1943,F,7.45E+08
1944,F,7.73E+08
1945,F,5.95E+08
1946,F,3.25E+08
1947,F,3.42E+08
1948,F,4.98E+08
1949,F,2.33E+08
1950,F,4.17E+08
1951,F,1.24E+08
1952,F,4.60E+07
1941,G,1.19E+09
1942,G,2.52E+09
1943,G,2.64E+09
1944,G,2.89E+09
1945,G,2.52E+09
1946,G,2.64E+09
1947,G,2.27E+09
1948,G,2.57E+09
1949,G,1.39E+09
1950,G,1.99E+09
1951,G,6.46E+08
1952,G,1.81E+08
1952,H,1.82E+08
1953,H,4.62E+08
1954,H,8.66E+08
1955,H,1.18E+09
1956,H,9.01E+08
1957,H,6.31E+08
1958,H,8.87E+08
1959,H,7.22E+08
1960,H,7.18E+08
1961,H,8.28E+08
1962,H,6.54E+08
1963,H,5.75E+08
1964,H,4.77E+08
1965,H,3.94E+08
1966,H,4.10E+08
1967,H,3.24E+08
1968,H,2.44E+08
1969,H,1.72E+08
1970,H,1.62E+08
1971,H,2.59E+08
1972,H,3.14E+08
1973,H,2.80E+08
1974,H,3.38E+08
1975,H,3.09E+08
1976,H,3.10E+08
1977,H,3.16E+08
1978,H,2.40E+08
1979,H,2.06E+08
1980,HH,9.60E+07
1981,HH,7.90E+07
1982,HH,7.70E+07
1983,HH,-2.90E+07
1984,HH,2.60E+07
1985,HH,-2.00E+06
1986,HH,2.10E+07
1987,HH,4.00E+07
1988,HH,-5.60E+07
1989,HH,-3.50E+07
1990,HH,-7.00E+07
1991,HH,-6.90E+07
1992,HH,4.20E+07
1993,HH,1.00E+07
1994,HH,1.00E+06
1995,HH,4.20E+07
1996,HH,1.70E+07
1997,HH,-7.00E+06
1998,HH,6.80E+07
1999,HH,4.00E+07
2000,HH,1.06E+08
2001,HH,4.70E+07
1952,J,8.30E+07
1953,J,1.28E+08
1954,J,3.25E+08
1955,J,2.47E+08
1956,J,1.53E+08
1957,J,3.80E+07
1952,K,2.77E+08
1953,K,3.04E+08
1954,K,9.58E+08
1955,K,6.61E+08
1956,K,3.22E+08
1957,K,6.00E+07
